experiment_id,workflow,lifecycle,status,image_type,model,z_set,S,R,h,hbar,resample_unit,B,config_path,run_path,recommended_use
x_only_grid_v1,hyperpar_cv,main,complete,both,X-only paired VCTR,none,grid,grid,grid,grid,subject_id,,configs/hyperpar_cv/x_only_grid_v1.json,runs/hyperpar_cv/x_only_grid_v1,hyperparameter_selection
v1_full_cv_selected,final_ablation,main,complete,both,model ablation,mixed,selected,selected,selected,selected,subject_id,,configs/final_ablation/v1_full_cv_selected.json,runs/final_ablation/v1_full_cv_selected,main_prediction_table
cfp_x_only_at_final_b2000,coefficient_bootstrap,main,complete,cfp,X-only paired VCTR,none,3x4x1,1,1.8,0.25,subject_id,2000,configs/coefficient_bootstrap/cfp_x_only_at_final_b2000.json,runs/coefficient_bootstrap/cfp_x_only_at_final_b2000,main_x_only_pointwise_ci
roi_x_only_at_final_b2000,coefficient_bootstrap,main,complete,roi,X-only paired VCTR,none,6x2x1,1,0.85,0.3,subject_id,2000,configs/coefficient_bootstrap/roi_x_only_at_final_b2000.json,runs/coefficient_bootstrap/roi_x_only_at_final_b2000,main_x_only_pointwise_ci
cfp_x_only_at_h055_sensitivity_b2000,coefficient_bootstrap,sensitivity,complete,cfp,X-only paired VCTR,none,3x4x1,1,0.55,0.3,subject_id,2000,configs/coefficient_bootstrap/cfp_x_only_at_h055_sensitivity_b2000.json,runs/coefficient_bootstrap/cfp_x_only_at_h055_sensitivity_b2000,bandwidth_sensitivity
roi_x_only_at_h055_sensitivity_b2000,coefficient_bootstrap,sensitivity,complete,roi,X-only paired VCTR,none,6x2x1,1,0.55,0.3,subject_id,2000,configs/coefficient_bootstrap/roi_x_only_at_h055_sensitivity_b2000.json,runs/coefficient_bootstrap/roi_x_only_at_h055_sensitivity_b2000,bandwidth_sensitivity
cfp_xz_inherit_xonly_tuning_b2000,coefficient_bootstrap,sensitivity,complete,cfp,X+Z paired VCTR,full60,3x4x1,1,1.8,0.25,subject_id,2000,configs/coefficient_bootstrap/cfp_xz_inherit_xonly_tuning_b2000.json,runs/coefficient_bootstrap/cfp_xz_inherit_xonly_tuning_b2000,inherited_x_only_tuning_sensitivity
roi_xz_inherit_xonly_tuning_b2000,coefficient_bootstrap,sensitivity,complete,roi,X+Z paired VCTR,full60,6x2x1,1,0.85,0.3,subject_id,2000,configs/coefficient_bootstrap/roi_xz_inherit_xonly_tuning_b2000.json,runs/coefficient_bootstrap/roi_xz_inherit_xonly_tuning_b2000,inherited_x_only_tuning_sensitivity
xz_inherit_xonly_tuning_b2000,coefficient_comparison,sensitivity,complete,both,X+Z paired VCTR,full60,selected,1,selected,selected,subject_id,2000,,runs/coefficient_bootstrap/xz_inherit_xonly_tuning_b2000,joint_beta_summary
cfp_x_only_at_pilot_b100,coefficient_bootstrap,pilot,complete,cfp,X-only paired VCTR,none,3x4x1,1,1.8,0.25,subject_id,100,configs/coefficient_bootstrap/cfp_x_only_at_pilot_b100.json,runs/coefficient_bootstrap/cfp_x_only_at_pilot_b100,workflow_validation_only
roi_x_only_at_pilot_b100,coefficient_bootstrap,pilot,complete,roi,X-only paired VCTR,none,6x2x1,1,0.85,0.3,subject_id,100,configs/coefficient_bootstrap/roi_x_only_at_pilot_b100.json,runs/coefficient_bootstrap/roi_x_only_at_pilot_b100,workflow_validation_only
cfp_xz6_pilot_b100,coefficient_bootstrap,pilot,complete,cfp,X+Z6 paired VCTR,selected6,3x4x1,1,1.8,0.25,pair_id,100,configs/coefficient_bootstrap/cfp_xz6_pilot_b100.json,runs/coefficient_bootstrap/cfp_xz6_pilot_b100,exploratory_only
roi_xz6_pilot_b100,coefficient_bootstrap,pilot,complete,roi,X+Z6 paired VCTR,selected6,6x2x1,1,0.85,0.3,pair_id,100,configs/coefficient_bootstrap/roi_xz6_pilot_b100.json,runs/coefficient_bootstrap/roi_xz6_pilot_b100,exploratory_only
cfp_xz6_h013_pilot_b500,coefficient_bootstrap,pilot,complete,cfp,X+Z6 paired VCTR,selected6,3x4x1,1,0.13,0.25,pair_id,500,configs/coefficient_bootstrap/cfp_xz6_h013_pilot_b500.json,runs/coefficient_bootstrap/cfp_xz6_h013_pilot_b500,small_bandwidth_exploratory_only
roi_xz6_h013_pilot_b500,coefficient_bootstrap,pilot,complete,roi,X+Z6 paired VCTR,selected6,6x2x1,1,0.13,0.25,pair_id,500,configs/coefficient_bootstrap/roi_xz6_h013_pilot_b500.json,runs/coefficient_bootstrap/roi_xz6_h013_pilot_b500,small_bandwidth_exploratory_only
xz6_h013_pilot_b500,coefficient_comparison,pilot,complete,both,X+Z6 paired VCTR,selected6,selected,1,0.13,0.25,pair_id,500,,runs/coefficient_bootstrap/xz6_h013_pilot_b500,joint_beta_summary_exploratory_only
