n_subject,coef_type,rho_true,sigma2_function,a_eval_mode,a_eval_selected_points,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,Sigma_fro_error_mean,Sigma_fro_error_std,rho_mae,rho_rmse
2000,base1,0.0,constant,full,,exchangeable_varying_sigma,fixed,30,30,0,0.03514944001256293,0.0010243729700038819,0.04592654091808675,0.0012806055479755712,0.015541644827793367,0.0065241458645426045,0.018480268522382815,0.0077426518688029885,0.03528806050423902,0.0010168760631443807,0.04613900960298515,0.001289145096521756,0.015293212898979367,0.006551708834914129,0.01837665805945071,0.007682538510012316,0.18856427141082216,0.023351368542932054,0.20345149448994176,0.020571681678843663,0.019620219794782994,0.014456093239761318,,,0.2,0.0,0.2,0.0,6439.154752649026,1631.9806389829075,0.26807260435854835,0.03331226211952038,,
2000,base1,0.0,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.035951165681617506,0.0009470953813412886,0.04878449337802531,0.0014541774784603205,0.015111364063897579,0.006845029484649575,0.018172507272257173,0.007901519615639252,0.03598767311393629,0.00094571904885954,0.048903408612996,0.0014668034691035267,0.015228050343153665,0.006810619060489962,0.018020179992966713,0.007833468894266352,0.23705395794131653,0.02106551869619994,0.2784062561602236,0.018119928825804616,0.019111593682324998,0.01377426823956836,0.007259384771334926,0.022411711477608686,0.18,0.0,0.18,0.0,1776.3889308715084,828.4918465018279,,,0.019111593682324998,0.023558087329277527
2000,base1,0.0,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03515425702067414,0.0009529299647604693,0.046735932907371526,0.0013305261944037252,0.01538758441916633,0.006617531237171569,0.01839485552504422,0.007738101735183424,0.03521828517333435,0.0009546682849499727,0.046894240304402555,0.001349821089475646,0.015173315470052916,0.006593994884331767,0.01793667395272573,0.0077183478274070495,0.22386975285093486,0.02219450674225486,0.24475789253013416,0.021709001920977463,0.01955370689315548,0.014250078786815784,0.005899351188002419,0.023465077333230926,0.18,0.0,0.18,0.0,1826.244195837706,874.6037512950267,,,0.01955370689315548,0.024195292903659862
2000,base1,0.0,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.030311176506278955,0.0008811765291518398,0.038987278686407875,0.0011006372897538618,0.013755893159066007,0.0058954114221704546,0.016098075197400336,0.006902998743692691,0.030432397690139,0.0008683867855212025,0.03920732708567283,0.0011080076609528333,0.012866845722230248,0.005536198578415947,0.015476700958884707,0.006448411482571859,0.15006032270425954,0.018233050784524252,0.1554490610894976,0.01882238911645505,0.021334930739136945,0.014751099080993786,0.005583376804706702,0.025329826237022027,0.18,0.0,0.18,0.0,1588.6502839453362,267.8422739319628,,,0.021334930739136945,0.025937891081216805
2000,base1,0.3,constant,full,,exchangeable_varying_sigma,fixed,30,30,0,0.035089486212053905,0.0009904661238554287,0.04584939009503048,0.0014762685759559867,0.017035676773656264,0.0070773928732219505,0.02041840236856564,0.008613524696684242,0.03439496080169337,0.0009687853411075924,0.044975118220621974,0.0014422702852109025,0.016880427961517876,0.0070506194081258544,0.020128994790068473,0.008339449836481067,0.1864128359352452,0.02180124956312194,0.20206928137985017,0.018078606172391206,0.06543101396389527,0.026141607872540048,,,0.2,0.0,0.2,0.0,6651.484205793323,1816.4915949655322,0.3060807290340729,0.04082722789068945,,
2000,base1,0.3,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03586383698412805,0.0009908731977580358,0.04872594512596011,0.0017665769716818426,0.016992971017657836,0.007077263419298688,0.020311366204401732,0.008599186678734074,0.0350146024290585,0.0009642528093416449,0.04768604097098284,0.001709202032680682,0.016707599904534264,0.006991451429206064,0.019815840948776524,0.008241593294070917,0.23571588712648298,0.01963954218888496,0.2781178779258289,0.017837133551440013,0.06714657165653996,0.02511392561804351,-0.06714657165653996,0.02511392561804351,0.18,0.0,0.18,0.0,1837.42663459441,757.8051809001211,,,0.06714657165653996,0.07168940887729147
2000,base1,0.3,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.0351179963459139,0.0009376250820631067,0.0467788285667682,0.0015659342833711874,0.017156339838766927,0.006870786713242928,0.020397426934588906,0.008360668073268587,0.03429969786180366,0.0009274365945187171,0.04580051821225737,0.0015215167878931748,0.016299668892927027,0.007046286108498237,0.019459436976784768,0.00824242484011144,0.22331354766738443,0.020712904510937175,0.2461147584254359,0.019290625929216775,0.06339345311966234,0.02577372875663632,-0.06339345311966234,0.02577372875663632,0.18,0.0,0.18,0.0,1857.1794031801323,1066.744134276154,,,0.06339345311966234,0.0684325579856218
2000,base1,0.3,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03022945249278873,0.0008327349286431998,0.038920753333996985,0.0012039984479884655,0.014768985641892364,0.006125024958693155,0.017659036440178418,0.007417062396367252,0.02963121036250227,0.0008310323859577252,0.03821872525674586,0.0011918062567906342,0.014145019291271349,0.006025835917839731,0.01676272233069199,0.0069741829054967616,0.14816892825991632,0.017616120014144133,0.15342943262649614,0.018133916953839497,0.06414898867487631,0.026608960793186656,-0.06365371280497051,0.027772907457540096,0.18,0.0,0.18,0.0,1607.2700645358186,238.462241248044,,,0.06414898867487631,0.06944875479447239
2000,base1,0.6,constant,full,,exchangeable_varying_sigma,fixed,30,30,0,0.03512326765995472,0.0010103789720383475,0.04588843575369939,0.001507040873807852,0.01864725529569328,0.007708029355823841,0.0224597085231577,0.009401085485211898,0.03169788556140253,0.0008911085009960496,0.04131597928655385,0.0013243228108611935,0.01829779787936564,0.007533919607289225,0.021833285984239646,0.00878733514169217,0.18610086643436638,0.026222503780251545,0.20255643756894248,0.021523705095597447,0.134514933915839,0.020603253558040602,,,0.2,0.0,0.2,0.0,6453.08233347048,1576.108130020259,0.4082631392084291,0.05224730347339953,,
2000,base1,0.6,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.035881562531475376,0.0010331135532603921,0.04874875449225886,0.0018336479398219732,0.018679165615075936,0.0076518518584096015,0.02235514107798338,0.009370554419264718,0.03203149572419466,0.0009004063980120041,0.04364050070627493,0.001615657186612202,0.018103573507895494,0.007574137281020769,0.02149044610353727,0.008707995044050723,0.2357443479853407,0.023616309268323536,0.27867735314952535,0.021605920810510566,0.13846434897676532,0.019340352879079085,-0.13846434897676532,0.019340352879079085,0.18,0.0,0.18,0.0,1752.9258728749933,841.9142108879797,,,0.13846434897676532,0.13980853045163857
